,gene_name,gene_biotype,P14E1KO_1_1_count,P14E1KO_1_3_count,P14E2KO_1_1_count,P14E2KO_1_3_count,P14E1WT_2_2_count,P14E1WT_2_4_count,P14E1WT_2_5_count,P14E2WT_2_1_count,P14E2WT_2_5_count
Tor2a,Tor2a,protein_coding,725,588,788,812,1149,843,718,727,846
Plekhd1,Plekhd1,protein_coding,211,160,174,232,185,151,218,129,100
Znhit2,Znhit2,protein_coding,447,357,433,463,491,346,338,387,344
Eva1c,Eva1c,protein_coding,20,15,33,29,14,3,19,16,10
Gm24336,Gm24336,snoRNA,1,1,0,0,3,1,0,3,4
Exoc6,Exoc6,protein_coding,577,466,503,637,599,634,658,558,572
Irgc1,Irgc1,protein_coding,8,7,6,8,5,8,2,3,2
Dzip1l,Dzip1l,protein_coding,41,24,73,26,60,69,37,45,85
X6530409C15Rik,6530409C15Rik,antisense,23,14,16,28,14,16,5,11,14
Pex11a,Pex11a,protein_coding,469,398,511,564,424,400,397,464,437
X1700120C14Rik,1700120C14Rik,processed_transcript,12,5,11,7,7,7,4,2,1
Epn1,Epn1,protein_coding,5409,4562,5246,6501,6039,4523,4694,5386,4420
Fbxo4,Fbxo4,protein_coding,247,181,221,270,336,290,205,236,312
Swt1,Swt1,protein_coding,430,359,452,580,373,419,405,449,349
Il17rc,Il17rc,protein_coding,3841,3293,3057,4339,3596,3268,2849,3681,3048
Fpr2,Fpr2,protein_coding,0,0,0,0,3,0,0,0,17
Cry1,Cry1,protein_coding,825,650,903,752,756,663,660,756,423
Rrp9,Rrp9,protein_coding,475,303,461,429,722,459,374,539,478
Gm31749,Gm31749,antisense,1,0,2,7,6,11,0,7,6
Tmprss6,Tmprss6,protein_coding,0,0,0,0,2,2,0,6,0
Cxxc4,Cxxc4,protein_coding,7,17,34,11,40,39,21,16,28
Erbb3,Erbb3,protein_coding,5390,6226,6877,9146,4952,6386,6785,6101,5212
Adpgk,Adpgk,protein_coding,567,361,526,533,771,604,579,491,529
Plekhh2,Plekhh2,protein_coding,97,112,216,150,75,41,158,119,78
Csdc2,Csdc2,protein_coding,9,4,6,1,1,0,3,1,2
Mtg2,Mtg2,protein_coding,240,204,316,307,292,202,230,253,202
Gm5869,Gm5869,processed_pseudogene,36,43,59,34,31,53,64,84,61
AC173344.1,AC173344.1,lincRNA,23,15,22,41,11,11,18,25,9
Virma,Virma,protein_coding,1059,785,972,1130,1215,1105,1064,1058,991
March7,March7,protein_coding,1988,1736,2366,2968,2350,2813,2558,2357,2200
Ccnh,Ccnh,protein_coding,316,267,349,390,439,346,386,402,397
Lingo2,Lingo2,protein_coding,0,0,2,0,7,1,3,8,0
Snhg20,Snhg20,lincRNA,139,101,152,126,118,90,83,153,99
Hgh1,Hgh1,protein_coding,256,187,231,317,377,265,205,343,254
Tmem74b,Tmem74b,protein_coding,1,0,7,4,19,18,4,4,14
Tmem19,Tmem19,protein_coding,821,724,802,913,682,635,715,791,710
Gjb5,Gjb5,protein_coding,37,31,20,34,5,13,10,24,22
Elavl1,Elavl1,protein_coding,1382,1175,1478,1610,1892,1583,1459,1546,1314
Nxph3,Nxph3,protein_coding,1,4,16,4,3,3,2,1,1
Wdr93,Wdr93,protein_coding,2,8,8,13,5,4,6,2,4
Rtl4,Rtl4,protein_coding,0,0,0,0,0,7,3,0,1
Pnp2,Pnp2,protein_coding,310,343,490,438,329,401,394,181,294
Gxylt2,Gxylt2,protein_coding,4,7,7,2,16,32,9,1,7
Rnd1,Rnd1,protein_coding,13,3,16,11,17,11,13,19,37
Mief2,Mief2,protein_coding,323,241,326,295,256,235,263,231,245
Phtf2,Phtf2,protein_coding,176,93,143,138,180,163,139,160,147
X5830444B04Rik,5830444B04Rik,processed_transcript,87,67,75,122,77,81,99,62,41
Pign,Pign,protein_coding,780,557,722,948,953,918,768,769,691
Rdh13,Rdh13,protein_coding,907,573,883,998,1041,831,904,1026,788
Hif3a,Hif3a,protein_coding,142,96,84,114,172,146,125,91,166
Ubfd1,Ubfd1,protein_coding,833,611,658,838,1130,861,710,899,811
Tex30,Tex30,protein_coding,149,147,173,229,274,183,184,206,242
Smim19,Smim19,protein_coding,242,170,193,272,195,176,199,198,164
Fbxw8,Fbxw8,protein_coding,867,777,792,1076,1226,990,1013,869,935
X2700099C18Rik,2700099C18Rik,transcribed_unprocessed_pseudogene,147,115,139,142,167,167,203,140,161
D130043K22Rik,D130043K22Rik,protein_coding,35,85,82,41,32,49,50,31,36
Pla2g12a,Pla2g12a,protein_coding,273,176,315,378,296,164,224,261,218
Terf2,Terf2,protein_coding,688,505,583,830,617,581,647,614,533
Parl,Parl,protein_coding,812,732,922,1099,1081,889,950,1033,886
Zfp354b,Zfp354b,protein_coding,3,0,3,9,0,0,2,0,4
Bmper,Bmper,protein_coding,1,6,5,1,5,4,3,8,21
Zfp939,Zfp939,transcribed_unprocessed_pseudogene,134,85,95,106,79,88,89,76,55
Tnik,Tnik,protein_coding,429,406,455,621,511,407,422,460,406
Nepro,Nepro,protein_coding,457,316,549,588,617,484,468,560,482
Hnrnpc,Hnrnpc,protein_coding,4398,3677,4939,6099,5514,5114,4772,5518,4818
Ngp,Ngp,protein_coding,0,0,2,0,0,0,2,0,18
Gm9694,Gm9694,TEC,0,1,2,3,2,7,1,5,5
Gm17812,Gm17812,processed_pseudogene,0,0,0,1,4,2,0,2,1
Jak2,Jak2,protein_coding,1506,1408,1699,2000,1903,1961,1700,1705,1636
Ncln,Ncln,protein_coding,2215,1982,2487,2901,3366,2506,2575,2646,2305
Btnl7.ps,Btnl7-ps,unprocessed_pseudogene,55,159,214,98,88,70,101,94,135
Gm5451,Gm5451,processed_pseudogene,17,18,21,22,20,25,26,35,33
Arhgef5,Arhgef5,protein_coding,2942,2618,3153,3602,3675,3765,2855,3303,3159
Tcf23,Tcf23,protein_coding,69,58,86,116,33,48,87,57,32
Gm14681,Gm14681,processed_pseudogene,162,92,147,192,195,162,169,172,178
Dr1,Dr1,protein_coding,952,749,781,1094,1112,959,896,938,966
Ctse,Ctse,protein_coding,1407,669,749,1461,769,772,881,1114,410
Gm37352,Gm37352,TEC,308,303,269,295,314,199,297,171,160
Zfp672,Zfp672,protein_coding,666,483,548,658,576,529,547,537,455
Cdyl2,Cdyl2,protein_coding,31,27,20,30,19,14,10,21,17
Txlng,Txlng,protein_coding,383,406,491,574,308,425,418,415,375
Gm2a,Gm2a,protein_coding,365,264,237,699,263,287,279,375,238
Gm45223,Gm45223,TEC,11,14,8,13,9,9,5,3,4
Ache,Ache,protein_coding,360,369,506,537,317,416,386,356,322
Npm3,Npm3,protein_coding,621,464,652,877,969,626,688,760,756
Nnat,Nnat,protein_coding,53,36,43,47,70,67,46,43,49
Mgll,Mgll,protein_coding,361,569,1285,717,239,323,776,678,394
Gm5917,Gm5917,processed_pseudogene,0,2,0,0,1,4,1,7,0
E2f5,E2f5,protein_coding,607,507,589,786,599,488,617,596,457
Hmga2,Hmga2,protein_coding,353,253,359,492,273,221,422,327,190
Kcnmb2,Kcnmb2,protein_coding,0,0,0,1,4,3,1,3,0
Mturn,Mturn,protein_coding,30,16,28,29,15,10,14,13,21
Fkbp3,Fkbp3,protein_coding,421,280,412,457,511,423,458,423,412
Trip12,Trip12,protein_coding,3522,2796,3643,4451,4294,4008,3489,3751,3472
Pdss1,Pdss1,protein_coding,801,647,929,936,953,808,1058,884,977
Sectm1a,Sectm1a,protein_coding,157,303,253,252,147,285,202,166,208
Slit1,Slit1,protein_coding,12,8,10,8,4,4,6,3,6
Hint3,Hint3,protein_coding,377,385,526,490,367,350,404,464,367
AI838599,AI838599,lincRNA,35,23,48,43,19,19,35,29,38
Sgo1,Sgo1,protein_coding,435,326,318,376,571,472,501,321,368
Dmkn,Dmkn,protein_coding,22,8,35,36,11,9,13,23,10
Mesd,Mesd,protein_coding,539,409,426,676,650,532,553,622,533
Cenpq,Cenpq,protein_coding,172,144,203,198,265,218,282,132,218
Borcs5,Borcs5,protein_coding,210,157,259,227,185,189,191,182,184
Kif3b,Kif3b,protein_coding,1263,916,1105,1471,1506,1415,1149,1213,1177
Scrn2,Scrn2,protein_coding,392,293,401,405,320,270,387,386,280
Lcp1,Lcp1,protein_coding,273,156,136,349,335,321,197,337,413
Nr3c2,Nr3c2,protein_coding,2082,1904,1690,2344,1599,2016,1705,1781,1211
Gm3571,Gm3571,processed_pseudogene,178,181,186,234,400,195,261,225,265
U2af2,U2af2,protein_coding,3760,2642,3808,4203,4823,3652,3706,4011,3830
Mrps15,Mrps15,protein_coding,695,505,714,930,1006,744,799,819,690
Eif4g3,Eif4g3,protein_coding,2242,1833,2572,2362,3015,2643,2497,2310,2342
Gm43593,Gm43593,TEC,0,1,0,1,10,1,1,1,0
Casp6,Casp6,protein_coding,406,364,518,568,510,495,559,588,494
Dlg4,Dlg4,protein_coding,11,18,30,21,54,27,21,12,33
Suds3,Suds3,protein_coding,2190,1800,2353,2890,2308,1902,2179,2379,1830
Samd8,Samd8,protein_coding,581,552,519,717,787,712,598,589,610
Gm10416,Gm10416,TEC,2,7,8,7,2,3,1,6,7
Dgkz,Dgkz,protein_coding,3677,3008,4173,4802,4073,3490,3619,3945,3226
Nrm,Nrm,protein_coding,389,283,334,427,331,245,363,325,274
Nanos3,Nanos3,protein_coding,0,2,5,7,2,0,0,1,2
CT033750.3,CT033750.3,processed_pseudogene,28,12,11,14,7,12,6,11,7
Gm12070,Gm12070,processed_pseudogene,80,73,61,121,136,118,97,80,114
X2900089D17Rik,2900089D17Rik,antisense,11,15,22,18,15,6,9,8,14
G430049J08Rik,G430049J08Rik,protein_coding,0,0,3,0,16,4,0,0,2
Nasp,Nasp,protein_coding,1398,1164,1541,1636,1825,1433,1669,1682,1622
Chrnb4,Chrnb4,protein_coding,120,106,121,70,168,150,237,86,104
CT030736.1,CT030736.1,lincRNA,41,7,11,34,12,14,16,15,7
Fto,Fto,protein_coding,851,594,842,1103,977,898,927,924,799
Ufsp2,Ufsp2,protein_coding,716,607,735,842,895,813,801,725,762
Gm47513,Gm47513,TEC,0,1,3,0,2,2,7,4,4
Gm45063,Gm45063,processed_pseudogene,3,6,1,6,6,0,4,0,0
Rpl29.ps5,Rpl29-ps5,processed_pseudogene,3,4,1,1,0,0,0,0,2
Spi1,Spi1,protein_coding,1,0,3,1,0,0,1,4,25
Star,Star,protein_coding,60,39,98,102,68,52,51,57,49
Apobr,Apobr,protein_coding,20,9,19,7,11,2,6,8,8
Srxn1,Srxn1,protein_coding,1659,2093,2156,2166,2665,2319,2231,2016,2483
Ccnb1.ps,Ccnb1-ps,processed_pseudogene,14,14,11,12,41,27,28,13,7
Rbm4,Rbm4,protein_coding,52,28,66,40,59,64,46,47,86
Clk4,Clk4,protein_coding,1210,870,1242,1386,962,1010,1023,1223,1075
Papd4,Papd4,protein_coding,855,579,866,1049,891,872,977,851,920
Zfp809,Zfp809,protein_coding,372,267,450,528,337,379,341,345,318
Gm44836,Gm44836,sense_intronic,10,5,14,6,14,9,12,12,23
Gm26403,Gm26403,snRNA,1,5,4,1,6,5,5,4,9
Sbk1,Sbk1,protein_coding,411,353,498,446,377,351,394,400,340
Ccdc18,Ccdc18,protein_coding,153,109,123,198,171,168,198,165,151
Gm15701,Gm15701,antisense,0,1,0,0,5,2,0,1,3
Tmem38b,Tmem38b,protein_coding,279,213,268,343,265,242,212,261,228
C5ar2,C5ar2,protein_coding,0,2,0,3,6,2,6,1,4
X1110019D14Rik,1110019D14Rik,lincRNA,75,55,84,100,67,66,80,58,60
Siah1a,Siah1a,protein_coding,378,267,346,389,304,301,354,331,259
Pcdhgb6,Pcdhgb6,protein_coding,27,20,28,61,51,54,43,34,53
Styk1,Styk1,protein_coding,2251,1880,2213,3312,2231,2820,2900,3141,2579
Ap5b1,Ap5b1,protein_coding,232,134,230,215,338,270,214,193,212
Fam196a,Fam196a,protein_coding,0,0,0,0,2,7,0,1,0
Spata5l1,Spata5l1,processed_transcript,192,171,195,257,256,169,135,160,133
Cerkl,Cerkl,protein_coding,2,3,1,5,11,3,2,7,7
Zfp105,Zfp105,protein_coding,3,3,1,2,2,11,10,3,5
Lysmd3,Lysmd3,protein_coding,875,688,750,1044,1027,923,807,937,898
Fpr1,Fpr1,protein_coding,0,0,0,0,0,0,0,0,18
X2010001K21Rik,2010001K21Rik,processed_transcript,26,25,14,29,50,38,32,20,47
Atp5f1,Atp5f1,protein_coding,6314,5618,6486,7959,7963,6947,7321,7462,7291
Mrgpre,Mrgpre,protein_coding,25,12,19,27,33,37,31,30,27
Gm10648,Gm10648,antisense,1,0,3,4,1,0,0,2,0
H2.Ob,H2-Ob,protein_coding,0,0,0,0,1,0,0,1,8
Znrf3,Znrf3,protein_coding,478,292,417,570,333,269,403,474,241
Ccl1,Ccl1,protein_coding,0,0,0,0,5,0,0,4,1
Trim31,Trim31,protein_coding,2202,1818,1759,1952,3275,2809,2142,1866,2180
Ppa2,Ppa2,protein_coding,1441,1267,1744,1793,1437,1091,1589,1597,1123
Zfp61,Zfp61,protein_coding,92,70,111,135,65,61,109,99,79
Tpm4,Tpm4,protein_coding,3161,2199,3148,3639,3774,3340,3131,3108,2885
Gm28269,Gm28269,protein_coding,5,9,13,14,5,4,9,4,3
Phox2a,Phox2a,protein_coding,1,0,0,0,5,3,0,1,2
Prps1l3,Prps1l3,protein_coding,663,464,632,685,597,545,538,580,481
Mir5107,Mir5107,miRNA,0,42,6,40,108,96,52,60,96
Slc25a47,Slc25a47,protein_coding,54,57,124,97,52,50,65,80,57
Scamp4,Scamp4,protein_coding,7,13,15,7,17,15,26,13,26
Mapk4,Mapk4,protein_coding,7,6,10,8,4,4,5,2,1
X2810030D12Rik,2810030D12Rik,bidirectional_promoter_lncRNA,99,72,108,97,60,69,70,63,100
Ripply3,Ripply3,protein_coding,21,2,3,9,21,27,24,8,5
Nipal3,Nipal3,protein_coding,1386,1227,1522,2033,1121,1424,1450,1451,1143
Grid1,Grid1,protein_coding,0,0,3,0,0,5,3,3,9
Ak7,Ak7,protein_coding,10,12,10,23,11,31,6,29,40
Soat1,Soat1,protein_coding,1104,709,774,1381,918,860,719,908,718
Sort1,Sort1,protein_coding,7334,6395,6465,9046,6458,6501,7046,7004,5730
Tmem45b,Tmem45b,protein_coding,5407,5290,5362,6838,5613,5136,4786,5157,5273
X5830487J09Rik,5830487J09Rik,processed_transcript,1,0,0,1,1,4,1,0,5
Gm16559,Gm16559,antisense,46,31,27,55,31,28,43,25,17
Trmt61b,Trmt61b,antisense,132,88,118,174,153,140,145,163,135
Gm48315,Gm48315,processed_pseudogene,0,0,1,0,1,0,0,4,8
Gm5915,Gm5915,processed_pseudogene,4,4,1,0,1,2,0,0,0
Sema6c,Sema6c,protein_coding,8,14,30,25,4,14,12,17,8
Ube2cbp,Ube2cbp,protein_coding,53,49,60,40,87,74,61,69,82
Pter,Pter,protein_coding,225,153,201,265,329,256,192,229,263
Gm9118,Gm9118,processed_pseudogene,92,79,95,147,116,131,143,125,103
Gm32856,Gm32856,lincRNA,23,32,53,24,91,61,50,58,62
Slain2,Slain2,protein_coding,1379,1149,1301,1732,1574,1613,1448,1511,1291
BC051142,BC051142,protein_coding,24,41,39,40,37,75,35,47,58
Clca4c.ps,Clca4c-ps,transcribed_unprocessed_pseudogene,0,2,9,4,30,4,12,6,99
Mrip.ps,Mrip-ps,unprocessed_pseudogene,4,9,8,14,14,20,8,12,23
Rapgef1,Rapgef1,protein_coding,1122,834,1007,1504,1401,1140,1107,1234,1071
Gm14168,Gm14168,lincRNA,2,0,3,13,8,8,18,7,6
Gm12941,Gm12941,processed_pseudogene,1,2,4,8,0,0,1,2,0
Prdm4,Prdm4,protein_coding,844,631,808,1050,1005,894,807,882,954
Zfp41,Zfp41,protein_coding,134,90,155,170,130,80,134,83,101
Nop2,Nop2,protein_coding,1191,631,1158,1047,1678,1106,923,1220,1063
Gm43549,Gm43549,lincRNA,0,2,0,1,1,0,0,0,0
Nudt2,Nudt2,protein_coding,260,184,275,358,400,299,324,295,310
Dclre1b,Dclre1b,protein_coding,213,163,243,234,298,252,244,219,238
Gm17529,Gm17529,antisense,6,10,9,4,12,15,15,4,15
Tnfrsf9,Tnfrsf9,protein_coding,0,0,0,0,0,2,0,3,5
Gm44833,Gm44833,processed_pseudogene,0,0,0,1,2,1,5,0,1
Zdhhc9,Zdhhc9,protein_coding,911,761,1050,1355,1194,1140,1028,1069,1034
Gm43314,Gm43314,TEC,26,22,23,27,6,10,13,23,19
Rab11a,Rab11a,protein_coding,1963,1794,1811,2236,2579,2277,1948,2030,2309
Olfr94,Olfr94,protein_coding,0,0,0,0,0,7,0,0,6
Itga10,Itga10,protein_coding,57,52,55,73,48,55,36,63,44
Dnal4,Dnal4,protein_coding,339,266,299,434,297,254,286,335,303
Pappa,Pappa,protein_coding,8,3,0,4,0,0,3,0,0
Dhrs7b,Dhrs7b,protein_coding,813,775,1039,1117,672,793,874,908,854
Gpalpp1,Gpalpp1,protein_coding,729,507,653,837,846,757,781,686,615
Usp7,Usp7,protein_coding,4211,2906,3790,4711,4644,4118,3819,4159,3954
Selenom,Selenom,protein_coding,1150,961,1415,1340,1021,924,1114,1405,905
Nat9,Nat9,protein_coding,389,323,424,381,308,325,371,361,341
Arhgap21,Arhgap21,protein_coding,3400,2593,3487,3894,3186,3198,2954,3114,2420
Flcn,Flcn,protein_coding,936,719,838,1084,639,645,753,983,837
Plppr2,Plppr2,protein_coding,67,54,82,140,81,56,70,73,48
Gm26640,Gm26640,lincRNA,0,0,2,0,2,5,1,4,0
Gm18190,Gm18190,transcribed_unprocessed_pseudogene,7,0,8,7,2,2,1,3,3
Gm2962,Gm2962,processed_pseudogene,44,60,64,66,59,43,44,60,43
Nectin4,Nectin4,protein_coding,114,87,59,199,141,200,111,130,188
Gm20394,Gm20394,processed_transcript,1,2,0,1,5,5,3,10,0
Gga3,Gga3,protein_coding,805,616,759,869,818,694,709,712,618
Csf2ra,Csf2ra,protein_coding,599,456,496,724,459,493,466,479,578
Fam96a,Fam96a,protein_coding,1271,1114,1617,1734,1936,1605,1508,1523,1653
Gstp2,Gstp2,protein_coding,346,227,271,266,266,255,205,239,183
Slc25a38,Slc25a38,protein_coding,454,287,422,457,505,429,394,523,518
Atp2c1,Atp2c1,protein_coding,1468,1022,1290,1491,1710,1611,1329,1372,1338
Dmwd,Dmwd,protein_coding,86,18,54,78,129,73,70,58,107
Ccl3,Ccl3,protein_coding,0,0,0,0,0,1,0,1,9
Cd101,Cd101,protein_coding,2,0,0,0,1,2,2,2,3
Ly6c2,Ly6c2,protein_coding,0,0,0,0,1,0,0,0,13
Hspa14,Hspa14,protein_coding,874,626,786,888,1137,919,880,782,839
Sp140,Sp140,protein_coding,31,112,27,143,127,216,67,129,102
Gm49134,Gm49134,processed_pseudogene,4,0,5,5,14,13,7,5,3
Mfsd14a,Mfsd14a,protein_coding,986,821,983,1202,1003,826,865,1014,808
Gm43260,Gm43260,sense_intronic,0,1,5,5,1,0,2,0,0
Gm42921,Gm42921,lincRNA,7,4,0,2,0,0,0,1,2
Etnk1,Etnk1,protein_coding,1775,1607,1599,2198,2424,2147,1796,1667,1913
Mus81,Mus81,protein_coding,202,140,201,254,268,280,244,246,220
Gm5564,Gm5564,processed_pseudogene,8,5,2,3,1,3,1,0,3
Sipa1l1,Sipa1l1,protein_coding,3092,2440,3283,4244,3782,3884,3366,3705,2869
Araf,Araf,protein_coding,2045,1711,2206,2523,2098,1952,2047,1946,1937
Pigb,Pigb,protein_coding,175,167,235,359,315,328,262,257,259
Mpp6,Mpp6,protein_coding,930,719,901,968,1205,1025,921,939,963
Dcaf6,Dcaf6,protein_coding,621,392,547,707,511,463,502,528,402
Mctp2,Mctp2,protein_coding,770,512,570,910,830,844,709,746,782
Sec24a,Sec24a,protein_coding,1449,1063,1412,1702,1696,1540,1417,1486,1285
Gm13567,Gm13567,processed_pseudogene,0,1,0,7,0,0,0,0,1
Cd24a,Cd24a,protein_coding,6672,3592,7491,7808,4890,4510,5388,6082,5962
Golga1,Golga1,protein_coding,854,602,689,804,1006,889,789,712,853
Nsl1,Nsl1,protein_coding,311,253,289,341,401,364,432,267,334
Mybl2,Mybl2,protein_coding,501,438,556,623,900,591,749,437,625
Zfp442,Zfp442,protein_coding,39,18,35,47,43,49,55,39,31
Iqsec2,Iqsec2,protein_coding,860,843,1024,1354,854,871,932,1010,855
Gm3654,Gm3654,transcribed_unprocessed_pseudogene,0,0,0,0,0,0,4,2,3
Cdr2l,Cdr2l,protein_coding,278,164,144,319,190,161,160,217,156
Csnk1g1,Csnk1g1,protein_coding,639,508,706,847,741,750,720,728,634
Ccnt1,Ccnt1,protein_coding,1061,785,1095,1389,1225,1336,1116,1269,971
Gm27209,Gm27209,antisense,6,7,1,6,0,0,5,2,1
B230334C09Rik,B230334C09Rik,antisense,1,0,0,0,0,0,1,8,2
Fam160b2,Fam160b2,protein_coding,959,673,900,1019,856,815,762,810,767
Gm15441,Gm15441,antisense,34,12,20,17,7,9,18,13,17
Ppp3r2,Ppp3r2,protein_coding,3,1,1,0,0,0,0,0,0
Hdac9,Hdac9,protein_coding,25,41,17,41,40,36,48,51,42
Gm43366,Gm43366,TEC,7,12,20,25,15,7,13,5,12
X2810455O05Rik,2810455O05Rik,lincRNA,39,39,40,53,18,26,34,38,32
P2ry2,P2ry2,protein_coding,437,342,459,509,584,525,373,466,559
Sema3c,Sema3c,protein_coding,1551,1659,1828,1868,1679,1363,1653,1492,1304
Immp2l,Immp2l,protein_coding,81,75,77,99,56,47,91,89,38
Gpr165,Gpr165,protein_coding,0,6,5,0,0,0,0,0,0
X6820431F20Rik,6820431F20Rik,transcribed_unprocessed_pseudogene,254,189,228,270,197,192,211,228,195
Mtmr12,Mtmr12,protein_coding,1091,938,1201,1448,1065,1100,1096,1035,863
Nono,Nono,protein_coding,4979,3796,4575,6066,5933,4868,5402,5008,4677
Acacb,Acacb,protein_coding,538,566,1223,938,502,588,968,750,487
Rnpepl1,Rnpepl1,protein_coding,2626,2363,2679,3448,2916,2553,2448,2705,2457
Tmem65,Tmem65,protein_coding,539,397,559,692,756,536,605,617,499
X6720489N17Rik,6720489N17Rik,protein_coding,43,26,55,46,23,25,56,29,28
Tmem101,Tmem101,protein_coding,231,193,343,350,249,213,221,282,221
Serpina1b,Serpina1b,protein_coding,3,6,0,0,9,13,13,0,4
Gtf2f2,Gtf2f2,protein_coding,438,307,432,396,642,421,417,464,517
Cntnap1,Cntnap1,protein_coding,401,405,731,633,375,634,436,373,301
Gdap1l1,Gdap1l1,protein_coding,9,6,8,0,25,8,13,6,9
Apobec2,Apobec2,protein_coding,48,26,25,51,80,92,40,47,73
Prkg1,Prkg1,protein_coding,0,1,0,0,5,1,2,1,0
Gm45758,Gm45758,TEC,0,0,1,0,5,2,1,0,1
Lsp1,Lsp1,protein_coding,1,0,3,9,0,2,1,15,43
Kcmf1,Kcmf1,protein_coding,1719,1440,1744,2040,2153,1744,1693,1968,1739
Ppm1e,Ppm1e,protein_coding,6,2,5,7,8,12,11,4,10
Nrn1,Nrn1,protein_coding,7,6,5,3,0,3,1,6,3
Luc7l2,Luc7l2,protein_coding,2977,2346,3143,3820,3504,3323,3393,2966,3235
Lypd2,Lypd2,protein_coding,0,0,0,0,0,4,0,0,8
Zxdc,Zxdc,protein_coding,525,331,400,596,473,378,398,439,356
Spg7,Spg7,protein_coding,2153,1994,2539,3149,2095,1945,2363,2411,1816
Gm43339,Gm43339,TEC,0,1,0,0,1,6,3,0,1
Cbl,Cbl,protein_coding,1844,2040,2130,3412,1881,2083,2064,1797,1441
Chmp2b,Chmp2b,protein_coding,2315,2039,2606,2715,2267,2096,1914,2210,2026
Nudt7,Nudt7,protein_coding,271,230,261,315,259,269,238,224,228
Gm17999,Gm17999,processed_pseudogene,0,0,1,2,0,7,7,0,6
Gm9042,Gm9042,processed_pseudogene,0,4,1,2,0,0,1,0,0
Cdk3.ps,Cdk3-ps,polymorphic_pseudogene,41,16,30,34,20,22,22,27,26
Cox6c,Cox6c,protein_coding,4586,4462,5576,5774,4627,4009,4767,5404,4564
Nrg4,Nrg4,protein_coding,23,40,28,39,31,25,17,24,23
Clcn1,Clcn1,protein_coding,3,11,16,16,18,23,15,14,14
Mmd,Mmd,protein_coding,178,197,282,234,95,122,243,233,109
Gm25492,Gm25492,scaRNA,6,6,3,7,11,7,12,12,5
Tigd2,Tigd2,protein_coding,254,216,280,369,310,338,284,328,266
Pdgfd,Pdgfd,protein_coding,27,3,11,20,6,6,13,2,1
Tmem147,Tmem147,protein_coding,769,633,1013,1093,1181,938,913,1226,1016
Itgal,Itgal,protein_coding,4,1,4,8,9,6,9,3,18
Gm8750,Gm8750,processed_pseudogene,0,1,0,1,9,6,0,1,4
Zfyve16,Zfyve16,protein_coding,519,434,585,536,434,462,462,443,360
Gm37174,Gm37174,TEC,4,0,2,2,6,8,3,1,7
Gm7332,Gm7332,processed_pseudogene,29,11,27,38,39,38,32,38,36
Abcb11,Abcb11,protein_coding,0,0,3,0,2,5,0,1,8
Gm27206,Gm27206,antisense,3,1,1,0,0,1,0,0,0
AV356131,AV356131,bidirectional_promoter_lncRNA,29,10,34,47,16,18,24,28,15
Ubac2,Ubac2,protein_coding,771,686,940,1033,839,726,767,869,707
Rbm12,Rbm12,protein_coding,424,235,353,418,510,346,357,438,341
Gm23701,Gm23701,miRNA,1,0,6,1,0,1,0,0,0
Nphp4,Nphp4,protein_coding,23,20,46,29,11,9,38,24,8
Axin2,Axin2,protein_coding,1431,833,1172,1398,1022,1048,1082,1246,767
Zfp493,Zfp493,protein_coding,54,17,60,57,37,34,34,26,22
Gm8524,Gm8524,processed_pseudogene,12,5,8,14,5,8,5,5,2
Gm16332,Gm16332,unprocessed_pseudogene,0,0,0,0,1,8,0,1,0
Gm13357,Gm13357,processed_pseudogene,0,0,0,3,1,4,8,0,2
Smad3,Smad3,protein_coding,1121,954,1406,1707,935,1071,846,1359,1061
Ccdc34,Ccdc34,protein_coding,826,662,876,978,1285,799,961,871,915
Cndp2,Cndp2,protein_coding,1506,1232,1706,1673,1604,1299,1327,1329,1331
Unc13a,Unc13a,protein_coding,49,63,85,64,102,112,82,60,66
Sgsm1,Sgsm1,protein_coding,699,563,591,687,921,777,786,588,663
Rhod,Rhod,protein_coding,159,212,286,170,184,174,127,141,128
Zfp189,Zfp189,protein_coding,29,7,35,23,15,16,18,13,4
X9530082P21Rik,9530082P21Rik,antisense,170,233,237,339,437,350,230,215,395
Cul4b,Cul4b,protein_coding,611,448,588,784,702,733,688,546,664
H2.Ab1,H2-Ab1,protein_coding,199,7526,1075,3628,9620,14897,6650,10479,10443
Anapc7,Anapc7,protein_coding,918,726,869,1084,1140,880,964,1021,825
Ccnjl,Ccnjl,protein_coding,140,104,167,151,150,191,143,211,131
Slc4a8,Slc4a8,protein_coding,20,38,83,71,32,25,34,42,32
Gm43398,Gm43398,TEC,7,2,0,12,1,0,4,1,0
Suv39h1,Suv39h1,protein_coding,474,368,512,541,651,480,632,472,552
Lrrc8d,Lrrc8d,protein_coding,908,568,756,925,1077,903,908,774,740
Epb41l4b,Epb41l4b,protein_coding,4185,4002,4130,4671,5336,5136,4312,4318,4473
Cdca2,Cdca2,protein_coding,577,489,611,606,834,678,832,473,616
Gm29201,Gm29201,processed_pseudogene,0,1,2,2,0,0,0,0,0
Gm23205,Gm23205,snRNA,4,6,6,3,12,13,3,5,9
Gm16380,Gm16380,processed_pseudogene,1,5,2,3,0,2,0,1,0
Gal3st2c,Gal3st2c,protein_coding,695,296,62,264,95,289,200,150,79
Fnbp4,Fnbp4,protein_coding,2085,1544,2439,2503,1955,1848,1931,2240,1741
Foxred1,Foxred1,protein_coding,780,593,848,850,950,842,876,769,830
