gene_id gene_name gene_biotype P14E1Vil_1_1_count P14E1Vil_1_3_count P14E2Vil_1_1_count P14E2Vil_1_2_count P14E2Vil_1_3_count P14E1Vil_2_4_count P14E2Vil_2_5_count P13E2Cad_2_3_count P13E2Cad_2_4_count P13E2Cad_1_1_count P13E2Cad_1_3_count P13E2Cad_1_4_count P13E2Cad_1_5_count P13E1Col_1_3_count P13E1Col_1_4_count P13E1Col_1_5_count P13E1Col_1_6_count P13E1Col_1_7_count a10 a19 a20 a9
Acta1 ENSMUSG00000031972 Acta1 protein_coding 184 176 64 91 48 149 74 204 69 92 197 163 88 135 93 130 83 130 48 105 123 29
Abcb10 ENSMUSG00000031974 Abcb10 protein_coding 832 1081 1264 948 1305 503 1190 1082 1089 798 936 1069 898 1199 1108 1217 761 1309 384 373 414 373
Urb2 ENSMUSG00000031976 Urb2 protein_coding 373 480 594 401 412 144 494 390 309 264 333 363 239 422 410 538 169 393 171 212 209 168
Cog2 ENSMUSG00000031979 Cog2 protein_coding 1712 1717 1513 1623 1506 857 1654 1464 1119 1172 1210 1267 1079 1273 1510 1417 1112 1677 592 636 806 510
Agt ENSMUSG00000031980 Agt protein_coding 569 520 592 370 524 126 202 161 77 119 109 97 123 346 348 309 201 215 236 271 386 158
Capn9 ENSMUSG00000031981 Capn9 protein_coding 1125 874 1070 867 913 398 756 804 610 679 590 771 568 642 442 463 279 477 349 301 367 280
Arv1 ENSMUSG00000031982 Arv1 protein_coding 108 116 162 118 95 94 111 118 82 93 107 128 74 80 63 102 75 72 42 41 33 34
X2310022B05Rik ENSMUSG00000031983 2310022B05Rik protein_coding 1294 1331 1632 1266 1375 673 1376 808 1007 915 813 893 881 1473 1190 1378 790 1119 522 606 697 465
X2810004N23Rik ENSMUSG00000031984 2810004N23Rik protein_coding 689 786 823 711 823 1089 857 606 563 603 681 603 476 613 788 782 941 906 313 322 448 303
Gnpat ENSMUSG00000031985 Gnpat protein_coding 1313 1462 1651 1299 1477 670 1627 1283 1046 1023 1113 1099 996 1522 1403 1625 1084 1482 506 463 574 443
Sprtn ENSMUSG00000031986 Sprtn protein_coding 613 772 863 642 831 431 802 751 720 632 702 799 565 667 602 717 356 520 324 257 356 275
Egln1 ENSMUSG00000031987 Egln1 protein_coding 1871 1850 2777 1758 2089 1665 1966 1359 1352 1578 1443 1600 1363 2159 1882 2058 1680 1948 741 745 979 644
Vps26b ENSMUSG00000031988 Vps26b protein_coding 1444 1553 1811 1495 1584 764 1440 1023 930 931 979 950 875 1484 1415 1769 947 1420 551 575 752 579
Jam3 ENSMUSG00000031990 Jam3 protein_coding 178 192 197 136 210 162 96 116 64 74 73 111 90 169 184 164 94 97 158 137 176 97
Spata19 ENSMUSG00000031991 Spata19 protein_coding 0 1 0 0 0 3 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
Snx19 ENSMUSG00000031993 Snx19 protein_coding 1081 1334 1412 1122 1186 501 1205 1082 928 838 954 1087 896 1035 1064 1200 565 950 336 461 528 372
Adamts8 ENSMUSG00000031994 Adamts8 protein_coding 115 119 152 87 185 28 63 87 42 83 70 73 92 167 60 92 24 36 73 44 76 69
St14 ENSMUSG00000031995 St14 protein_coding 7397 9214 9783 9310 11405 7439 15543 10158 14795 12204 10928 14574 12032 13732 10714 13526 8600 12214 3073 3181 3914 3321
Aplp2 ENSMUSG00000031996 Aplp2 protein_coding 7354 9160 10863 6706 8511 2457 5976 5819 4568 5632 4487 5147 5517 7017 5511 6250 2706 3584 3371 3740 4964 2959
Trpc6 ENSMUSG00000031997 Trpc6 protein_coding 10 14 54 12 44 17 9 25 19 18 7 23 11 25 26 28 16 22 9 12 14 8
Birc3 ENSMUSG00000032000 Birc3 protein_coding 1190 2258 2374 2298 2140 1250 2308 2845 1525 1764 1968 2092 2010 1976 1832 1986 1304 1991 554 645 767 453
Dcun1d5 ENSMUSG00000032002 Dcun1d5 protein_coding 937 1080 1259 1025 1153 2583 1546 1578 1282 1010 1336 1413 939 1180 1382 1414 1625 1908 444 402 486 418
Pdgfd ENSMUSG00000032006 Pdgfd protein_coding 198 270 468 207 219 78 75 88 60 87 49 71 68 197 183 155 98 140 91 105 122 82
Sesn3 ENSMUSG00000032009 Sesn3 protein_coding 1258 1543 1377 1113 1632 521 959 1141 938 780 830 954 711 1244 1238 1284 446 856 550 447 554 420
Usp2 ENSMUSG00000032010 Usp2 protein_coding 502 585 490 467 814 248 634 496 724 733 604 909 756 967 446 731 471 611 233 146 265 343
Thy1 ENSMUSG00000032011 Thy1 protein_coding 447 575 708 522 587 639 575 726 437 506 512 513 389 977 813 1279 817 1012 216 223 263 239
Nectin1 ENSMUSG00000032012 Nectin1 protein_coding 592 430 443 396 481 141 497 236 234 237 214 231 230 446 403 554 220 252 167 181 209 121
Trim29 ENSMUSG00000032013 Trim29 protein_coding 41 28 12 22 53 80 158 90 151 54 79 105 45 117 132 231 103 112 8 8 6 10
Oaf ENSMUSG00000032014 Oaf protein_coding 782 677 757 559 773 668 592 458 330 411 362 411 338 803 605 696 674 702 267 248 273 265
Pou2f3 ENSMUSG00000032015 Pou2f3 protein_coding 40 35 22 46 39 6 15 11 4 17 4 2 20 44 11 17 15 14 20 27 25 12
Grik4 ENSMUSG00000032017 Grik4 protein_coding 25 15 25 6 9 2 6 5 4 8 6 7 11 1 13 4 0 0 5 5 6 9
Sc5d ENSMUSG00000032018 Sc5d protein_coding 1911 2978 2698 2727 3306 2773 3865 4108 4272 3563 3752 4262 3419 3722 3551 3409 2656 3513 939 884 1182 880
Ubash3b ENSMUSG00000032020 Ubash3b protein_coding 195 143 156 206 197 171 325 244 280 184 172 259 190 195 287 385 165 330 55 49 57 58
Crtam ENSMUSG00000032021 Crtam protein_coding 2 11 2 6 8 20 16 21 8 13 14 22 15 6 14 23 9 29 0 4 2 0
Jhy ENSMUSG00000032023 Jhy protein_coding 3 6 2 0 0 0 1 0 2 3 4 0 0 0 3 2 0 0 1 5 3 2
Clmp ENSMUSG00000032024 Clmp protein_coding 1382 1554 1831 1168 1913 345 807 789 605 872 602 580 857 1517 1104 1248 537 918 938 878 953 874
Rexo2 ENSMUSG00000032026 Rexo2 protein_coding 1412 1527 1672 1295 1655 2180 1755 1336 1138 1353 1068 1288 1178 1742 1695 1582 2097 2174 538 505 672 475
Nxpe2 ENSMUSG00000032028 Nxpe2 protein_coding 1474 4013 4428 1147 748 303 526 351 138 306 228 186 126 891 433 520 253 237 1307 739 1034 157
Cul5 ENSMUSG00000032030 Cul5 protein_coding 773 940 1001 800 1074 639 902 822 672 575 684 778 584 900 954 988 661 831 300 350 422 273
Barx2 ENSMUSG00000032033 Barx2 protein_coding 58 66 79 97 96 99 101 43 49 70 49 66 75 58 72 55 137 128 17 20 37 16
Kcnj5 ENSMUSG00000032034 Kcnj5 protein_coding 56 43 44 37 42 3 9 23 10 17 16 20 20 21 19 9 9 18 28 16 27 16
Ets1 ENSMUSG00000032035 Ets1 protein_coding 660 884 800 685 768 605 789 1164 636 598 850 851 656 1340 1401 1810 652 913 252 256 260 242
Kirrel3 ENSMUSG00000032036 Kirrel3 protein_coding 53 37 30 40 51 21 49 61 47 50 97 103 100 4 26 22 15 18 11 13 10 22
St3gal4 ENSMUSG00000032038 St3gal4 protein_coding 4046 7282 5063 8649 4256 8960 9674 14295 11313 12196 13830 15786 11068 6966 7881 5276 7431 12364 1806 2191 2121 937
Dcps ENSMUSG00000032040 Dcps protein_coding 367 598 562 520 472 902 665 558 414 410 496 623 377 587 575 561 645 771 162 181 184 113
Tirap ENSMUSG00000032041 Tirap protein_coding 509 733 901 735 753 307 940 855 797 600 723 918 634 805 720 947 373 761 330 284 347 245
Srpr ENSMUSG00000032042 Srpr protein_coding 5312 5700 4485 4938 4775 2806 5701 3599 3360 3251 3135 3477 3354 4873 5466 5179 3073 4997 1914 2106 2593 1468
Rpusd4 ENSMUSG00000032044 Rpusd4 protein_coding 401 561 385 434 445 568 422 458 374 298 395 347 270 424 526 434 438 545 153 205 220 135
Abhd12 ENSMUSG00000032046 Abhd12 protein_coding 1113 1287 1078 1207 1464 1358 1395 1131 944 1117 1093 1240 989 1498 1530 1654 1966 2039 443 450 516 472
Acat1 ENSMUSG00000032047 Acat1 protein_coding 3423 4711 4675 3925 4664 4540 4821 3772 2645 2988 3535 3553 2695 4563 4905 3737 5047 5629 1714 1765 2120 1480
X4930510E17Rik ENSMUSG00000032048 4930510E17Rik lincRNA 1 3 0 1 0 2 0 1 0 0 0 0 0 3 0 0 0 0 1 0 0 0
Rdx ENSMUSG00000032050 Rdx protein_coding 902 1424 2917 1204 1273 427 707 875 364 476 639 536 551 1043 906 1212 433 870 467 495 522 374
Fdx1 ENSMUSG00000032051 Fdx1 protein_coding 806 1039 920 781 972 1693 964 741 689 738 655 757 568 871 1161 706 1507 1224 404 394 370 411
Pou2af1 ENSMUSG00000032053 Pou2af1 protein_coding 318 376 494 454 371 451 702 691 319 265 560 537 443 440 1105 768 457 531 44 89 117 87
Btg4 ENSMUSG00000032056 Btg4 protein_coding 2 1 0 0 2 0 1 0 1 0 0 0 1 0 2 0 0 0 0 1 0 0
Ppp2r1b ENSMUSG00000032058 Ppp2r1b protein_coding 962 930 1492 1175 1168 403 1399 1151 946 957 936 1225 977 1300 1073 1442 727 1064 410 409 612 360
Alg9 ENSMUSG00000032059 Alg9 protein_coding 1038 1071 868 967 1098 1011 1526 1090 1261 1004 1075 1299 931 1422 1223 1275 846 1411 391 432 548 340
Cryab ENSMUSG00000032060 Cryab protein_coding 581 481 588 341 516 425 235 288 253 387 233 250 251 557 359 359 335 432 298 276 308 230
X2310030G06Rik ENSMUSG00000032062 2310030G06Rik protein_coding 329 354 296 251 238 380 312 364 330 263 369 403 292 313 239 267 316 352 125 151 190 111
Dixdc1 ENSMUSG00000032064 Dixdc1 protein_coding 776 578 290 299 366 73 130 137 134 129 139 194 138 191 83 130 30 76 251 262 276 121
Tex12 ENSMUSG00000032065 Tex12 protein_coding 31 37 29 64 92 55 61 100 73 63 48 95 55 72 109 55 96 69 18 2 13 14
Bco2 ENSMUSG00000032066 Bco2 protein_coding 199 267 475 252 438 197 226 321 117 192 124 159 168 373 280 183 183 131 173 200 192 131
Pts ENSMUSG00000032067 Pts protein_coding 1036 1218 1130 917 1177 1922 1022 1214 951 872 1219 1108 899 981 851 714 1446 1492 438 451 515 418
Plet1 ENSMUSG00000032068 Plet1 protein_coding 6893 5579 124 9456 13658 17497 32612 15108 29206 27658 16498 28208 35640 27693 29489 26693 23473 20458 2348 3571 3226 374
Cadm1 ENSMUSG00000032076 Cadm1 protein_coding 260 227 303 188 258 152 187 202 95 161 124 166 183 269 183 303 140 223 133 148 147 113
Bud13 ENSMUSG00000032077 Bud13 protein_coding 284 292 379 293 284 197 394 224 261 232 217 255 221 381 378 392 300 316 70 119 139 105
Zpr1 ENSMUSG00000032078 Zpr1 protein_coding 815 717 963 731 840 1084 954 800 753 685 681 779 613 825 868 819 965 997 312 296 348 279
Apoa4 ENSMUSG00000032080 Apoa4 protein_coding 0 0 0 0 1 5 0 0 1 0 1 6 0 0 3 1 124 0 0 0 0 2
Apoc3 ENSMUSG00000032081 Apoc3 protein_coding 0 0 0 0 1 2 0 1 2 1 0 0 1 0 0 0 9 0 1 0 0 0
Apoa1 ENSMUSG00000032083 Apoa1 protein_coding 12 5 0 2 2 8 2 6 2 4 4 14 3 2 4 0 1622 0 5 7 1 0
Tagln ENSMUSG00000032085 Tagln protein_coding 310 361 447 220 327 288 134 211 192 233 160 202 190 353 259 199 213 296 12444 12453 12787 12248
Bace1 ENSMUSG00000032086 Bace1 protein_coding 730 792 901 598 754 123 496 404 376 297 343 360 361 572 412 513 118 271 614 692 716 461
Dscaml1 ENSMUSG00000032087 Dscaml1 protein_coding 10 5 13 5 4 0 6 7 4 7 7 4 7 4 6 7 3 0 2 4 7 7
Il10ra ENSMUSG00000032089 Il10ra protein_coding 246 273 249 374 247 559 613 695 422 405 479 583 355 516 504 1093 436 840 83 63 81 82
Tmprss4 ENSMUSG00000032091 Tmprss4 protein_coding 3132 4204 4483 4416 4749 3272 5425 4226 4354 3616 4101 4774 3800 5336 5226 4913 4519 5948 1819 1797 2015 1729
Mpzl2 ENSMUSG00000032092 Mpzl2 protein_coding 243 518 514 383 386 46 256 235 172 117 191 211 115 327 293 356 101 341 599 525 580 427
Cd3e ENSMUSG00000032093 Cd3e protein_coding 48 53 30 66 59 64 100 126 91 77 119 153 64 155 159 226 167 171 21 35 14 34
Cd3d ENSMUSG00000032094 Cd3d protein_coding 27 56 26 69 58 634 150 225 116 118 139 192 120 193 213 272 406 415 3 9 7 14
Arcn1 ENSMUSG00000032096 Arcn1 protein_coding 7172 9364 9100 8033 9008 4858 9727 7869 7293 5709 7035 8046 6145 9572 9546 9518 7049 11681 3021 3448 4459 2775
Ddx6 ENSMUSG00000032097 Ddx6 protein_coding 6194 7419 8342 5990 7672 2435 5823 6635 5077 4538 5490 6436 4223 6659 5382 7131 2305 3877 2821 2552 3017 2654
Treh ENSMUSG00000032098 Treh protein_coding 2 19 21 12 14 3 23 7 7 4 8 9 3 33 10 10 11 20 4 2 1 4
Ddx25 ENSMUSG00000032101 Ddx25 protein_coding 20 31 6 13 13 19 23 14 18 22 27 23 11 6 39 14 17 23 4 10 6 4
Pdzd3 ENSMUSG00000032105 Pdzd3 protein_coding 521 622 980 650 833 811 1034 1179 1346 823 1413 1488 982 1037 734 864 844 994 183 173 210 221
Nlrx1 ENSMUSG00000032109 Nlrx1 protein_coding 474 634 1014 790 618 443 1341 904 967 836 952 1210 925 926 637 1128 600 932 270 282 371 164
Trappc4 ENSMUSG00000032112 Trappc4 protein_coding 739 835 924 797 1019 2444 1290 1162 1527 1199 1107 1596 1002 1210 1192 998 2092 1803 311 299 397 309
Chek1 ENSMUSG00000032113 Chek1 protein_coding 146 222 266 216 194 185 228 166 131 108 148 154 114 204 232 253 169 302 57 55 103 54
Slc37a4 ENSMUSG00000032114 Slc37a4 protein_coding 777 917 861 918 946 831 1099 855 897 656 900 981 679 942 770 839 838 1209 346 328 382 299
Hyou1 ENSMUSG00000032115 Hyou1 protein_coding 3136 4095 3550 4428 3351 1794 6495 4280 5266 4292 4251 4419 3941 4548 4198 7128 2328 3778 957 1210 1862 1056
Stt3a ENSMUSG00000032116 Stt3a protein_coding 4761 5867 4939 5343 5020 2579 6849 4594 4768 4034 4578 4894 3970 5335 5667 6378 3055 4619 1742 1976 2684 1493
Fez1 ENSMUSG00000032118 Fez1 protein_coding 69 84 86 48 94 49 38 29 23 42 24 35 29 57 34 48 32 39 33 31 51 47
Hinfp ENSMUSG00000032119 Hinfp protein_coding 556 689 705 688 730 304 692 710 837 575 853 931 515 671 558 716 280 401 288 174 236 228
C2cd2l ENSMUSG00000032120 C2cd2l protein_coding 1687 1931 1909 2316 2460 1412 3301 2115 3352 2571 2246 3140 2445 3070 2085 2761 1448 2644 784 636 859 696
Tmem218 ENSMUSG00000032121 Tmem218 protein_coding 198 299 287 217 271 243 189 186 128 181 164 173 146 241 213 141 269 231 88 99 99 71
Slc37a2 ENSMUSG00000032122 Slc37a2 protein_coding 251 4689 6877 2006 10764 582 1046 2821 461 936 1015 654 1459 1181 412 1555 608 727 1693 1433 1344 11828
Dpagt1 ENSMUSG00000032123 Dpagt1 protein_coding 1192 1242 1226 1394 1364 1250 2618 1808 2400 1735 2070 2450 1780 1585 1576 1817 1374 1991 478 513 604 342
Robo4 ENSMUSG00000032125 Robo4 protein_coding 191 214 214 153 199 81 192 142 91 105 77 134 98 216 172 201 76 116 110 77 119 63
Hmbs ENSMUSG00000032126 Hmbs protein_coding 822 907 821 955 949 2009 1393 1080 1046 1060 971 1131 1032 1131 1351 1089 2206 1793 308 295 383 265
Vps11 ENSMUSG00000032127 Vps11 protein_coding 889 1002 1160 1003 1089 444 1233 1059 1087 830 982 1163 861 1028 1044 1282 616 1010 334 328 432 356
Robo3 ENSMUSG00000032128 Robo3 protein_coding 6 1 6 5 17 0 0 0 5 2 3 7 6 1 2 3 0 0 1 5 3 5
Abcg4 ENSMUSG00000032131 Abcg4 protein_coding 31 43 82 42 80 2 15 42 27 30 38 42 17 44 29 34 15 15 25 29 33 25
Mcam ENSMUSG00000032135 Mcam protein_coding 1187 1342 1726 994 1506 412 764 1098 883 898 806 878 786 1523 886 1343 459 597 716 626 704 692
Pin1 ENSMUSG00000032171 Pin1 protein_coding 904 940 902 873 959 1858 1260 742 882 867 805 1089 651 1091 1169 1075 1759 1459 258 314 298 245
Olfm2 ENSMUSG00000032172 Olfm2 protein_coding 39 34 33 18 41 13 27 11 11 16 9 29 13 20 13 21 6 8 6 21 18 10
Icam5 ENSMUSG00000032174 Icam5 protein_coding 4 4 5 8 3 0 3 6 3 10 6 6 15 10 3 5 3 2 2 2 2 0
Tyk2 ENSMUSG00000032175 Tyk2 protein_coding 1274 1592 1792 1669 1718 628 1647 1876 1464 1358 1522 1662 1369 1560 1352 1805 714 1432 556 511 625 541
Pde4a ENSMUSG00000032177 Pde4a protein_coding 118 162 248 130 140 40 121 174 104 148 138 138 121 133 109 129 65 97 77 75 88 51
Ilf3 ENSMUSG00000032178 Ilf3 protein_coding 1150 1272 1559 1112 1266 470 1148 866 596 647 739 745 679 1019 1032 1211 661 870 509 500 589 426
Bmp5 ENSMUSG00000032179 Bmp5 protein_coding 434 557 566 392 498 65 229 202 120 130 158 211 180 521 409 390 138 334 419 481 628 328
Tmed1 ENSMUSG00000032180 Tmed1 protein_coding 236 265 297 257 251 448 275 165 156 138 201 211 128 225 276 336 450 428 162 158 149 135
Scg3 ENSMUSG00000032181 Scg3 protein_coding 163 136 176 158 162 44 86 66 57 97 73 68 106 93 93 70 49 50 91 113 127 91
Yipf2 ENSMUSG00000032182 Yipf2 protein_coding 454 482 553 469 510 382 518 483 432 338 429 466 343 449 485 458 508 680 475 512 600 411
Lysmd2 ENSMUSG00000032184 Lysmd2 protein_coding 185 188 267 238 204 441 285 207 192 205 150 248 136 305 327 285 436 419 68 91 105 65
Carm1 ENSMUSG00000032185 Carm1 protein_coding 906 1018 1309 885 941 134 862 521 436 389 390 474 470 918 790 950 275 711 700 760 902 585
Tmod2 ENSMUSG00000032186 Tmod2 protein_coding 343 393 403 214 384 65 102 147 107 110 121 179 101 241 150 145 19 102 196 212 227 199
Smarca4 ENSMUSG00000032187 Smarca4 protein_coding 2941 3570 3989 3331 3361 1274 4140 2763 2906 2639 2731 2972 2742 3597 3059 4539 1291 2204 1121 1349 1833 1112
Bcl2l10 ENSMUSG00000032191 Bcl2l10 protein_coding 0 3 0 0 2 1 0 2 1 1 1 0 1 0 0 1 0 0 0 2 0 1
Gnb5 ENSMUSG00000032192 Gnb5 protein_coding 376 381 343 289 547 213 200 296 243 256 223 228 275 398 325 315 238 264 226 187 206 252
Ldlr ENSMUSG00000032193 Ldlr protein_coding 2882 6944 4846 5370 5247 1655 6983 6168 6490 5076 6040 6381 5751 5623 5064 6780 2058 3927 1349 1434 2724 1251
Kank2 ENSMUSG00000032194 Kank2 protein_coding 1527 1743 2471 1337 1794 330 802 1022 695 839 803 820 771 1582 798 1230 437 793 870 752 956 719
Dock6 ENSMUSG00000032198 Dock6 protein_coding 1098 1321 2371 1357 1752 311 1419 2832 3128 2289 2453 2959 2390 1388 759 1489 363 837 702 537 798 599
Polr2m ENSMUSG00000032199 Polr2m protein_coding 4119 4624 4399 3736 4572 4767 4634 2900 2887 2787 2854 3139 2891 4491 5007 4539 5136 5684 1441 1612 1991 1384
Rab27a ENSMUSG00000032202 Rab27a protein_coding 1300 1593 1667 1535 1414 1187 1762 1529 1492 1425 1454 1796 1545 1487 1156 1327 972 1641 543 583 673 407
Aqp9 ENSMUSG00000032204 Aqp9 protein_coding 13 7 8 5 2 7 7 4 17 3 5 22 6 3 14 19 8 11 2 2 1 3
Lipc ENSMUSG00000032207 Lipc protein_coding 18 18 37 14 22 25 12 18 10 12 33 34 23 10 47 12 50 18 3 7 6 4
Sltm ENSMUSG00000032212 Sltm protein_coding 1811 1638 1795 1717 1907 629 1933 2095 1897 1544 1940 2147 1460 1690 1410 1689 659 907 748 680 723 655
Rsl24d1 ENSMUSG00000032215 Rsl24d1 protein_coding 499 537 501 486 506 1260 752 616 747 625 624 759 641 686 783 648 1298 1085 102 160 180 130
Nedd4 ENSMUSG00000032216 Nedd4 protein_coding 10802 13421 15460 10798 13596 2496 9335 8297 5904 5908 6070 6980 6138 11663 9097 12050 3199 6731 5208 5681 7340 4392
Rnf111 ENSMUSG00000032217 Rnf111 protein_coding 987 952 1345 923 1259 505 948 1122 893 698 796 980 775 1096 977 1135 444 725 441 397 555 422
Ccnb2 ENSMUSG00000032218 Ccnb2 protein_coding 755 1213 666 1048 1102 1417 1847 931 960 827 1082 1099 769 1340 1484 1284 1493 1662 348 365 375 298
Myo1e ENSMUSG00000032220 Myo1e protein_coding 2556 3102 3778 2677 3936 870 3533 3432 4602 3595 3390 4357 3890 3788 2335 3728 1021 1959 1051 1059 1611 1169
Mns1 ENSMUSG00000032221 Mns1 protein_coding 82 87 53 63 67 73 114 108 95 54 99 93 44 62 48 89 30 61 200 150 178 218
Fam81a ENSMUSG00000032224 Fam81a protein_coding 4 12 12 9 13 0 12 4 3 6 7 2 5 18 7 7 3 12 2 7 12 3
Gcnt3 ENSMUSG00000032226 Gcnt3 protein_coding 8379 6580 1891 4398 4995 2531 4680 4283 4393 3740 3315 3814 4313 4307 4892 3997 2366 2398 2716 2650 2238 2738
Tcf12 ENSMUSG00000032228 Tcf12 protein_coding 1897 2319 2180 1812 2204 685 1684 1622 1040 1016 1171 1201 1021 1791 1782 1917 768 1552 780 860 1116 845
Anxa2 ENSMUSG00000032231 Anxa2 protein_coding 11388 13727 15043 15808 16991 29416 31794 24642 35372 27728 25748 32972 23772 25980 22425 26718 27592 26756 4449 4307 5170 4083
Cgnl1 ENSMUSG00000032232 Cgnl1 protein_coding 1325 1559 1958 1500 1353 169 999 907 707 900 928 1359 1114 983 666 1020 207 408 657 678 954 386
Ice2 ENSMUSG00000032235 Ice2 protein_coding 351 454 528 348 484 233 263 424 264 196 282 229 228 364 316 349 152 263 170 176 201 161
Rora ENSMUSG00000032238 Rora protein_coding 321 397 406 330 364 136 231 239 123 120 161 200 139 388 268 367 112 153 159 133 151 144
Rp9 ENSMUSG00000032239 Rp9 protein_coding 1353 1518 1463 1098 1246 1660 1352 913 794 903 759 960 778 1312 1328 1132 1427 1319 529 528 478 424
Itga11 ENSMUSG00000032243 Itga11 protein_coding 122 167 221 123 172 20 66 95 19 55 37 51 56 104 74 138 23 54 65 73 93 66
Fem1b ENSMUSG00000032244 Fem1b protein_coding 1289 1467 1555 1285 1806 821 1279 1149 1073 874 941 1115 738 1463 1335 1458 784 1122 546 468 560 531
Cln6 ENSMUSG00000032245 Cln6 protein_coding 928 992 1054 863 930 649 1028 525 595 585 543 638 562 915 866 792 799 887 391 484 534 300
Calml4 ENSMUSG00000032246 Calml4 protein_coding 2094 2725 3012 3582 4039 5873 5149 3618 2954 5092 3022 3699 4837 4754 6251 3639 11438 3863 756 732 842 721
Anp32a ENSMUSG00000032249 Anp32a protein_coding 3108 3709 2947 3077 3755 4513 3310 3157 3698 3303 3533 3709 2797 3391 3271 3097 3532 3264 1277 1488 1582 1353
Irak1bp1 ENSMUSG00000032251 Irak1bp1 protein_coding 55 63 101 59 60 79 35 31 17 24 35 25 27 77 59 71 64 72 35 30 24 19
Glce ENSMUSG00000032252 Glce protein_coding 999 1005 1048 1065 1296 484 1132 891 710 597 770 794 675 1037 1034 1193 582 970 331 372 434 318
Phip ENSMUSG00000032253 Phip protein_coding 1344 1599 1606 1298 1532 1137 1204 1346 920 613 970 873 629 1214 1081 1398 585 768 541 467 686 515
Kif23 ENSMUSG00000032254 Kif23 protein_coding 689 1127 741 1120 1109 489 1392 918 960 762 995 1088 699 1098 1152 1397 654 820 436 392 445 329
Ankk1 ENSMUSG00000032257 Ankk1 protein_coding 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
Lca5 ENSMUSG00000032258 Lca5 protein_coding 125 127 117 110 111 47 54 60 52 60 53 66 41 81 101 100 72 62 38 52 62 36
Drd2 ENSMUSG00000032259 Drd2 protein_coding 0 4 5 6 2 0 0 0 0 0 2 0 0 0 0 0 0 0 1 0 2 0
Sh3bgrl2 ENSMUSG00000032261 Sh3bgrl2 protein_coding 5572 6540 5489 6923 7989 4370 9138 6700 6806 5833 6251 6738 5961 8529 7938 7677 6168 8439 2393 2566 2820 1661
Elovl4 ENSMUSG00000032262 Elovl4 protein_coding 12 15 19 12 34 3 6 3 14 12 6 10 9 18 5 6 5 7 16 13 6 9
Bckdhb ENSMUSG00000032263 Bckdhb protein_coding 197 258 502 413 374 211 396 241 183 314 222 279 274 420 421 368 604 382 97 79 129 106
Zw10 ENSMUSG00000032264 Zw10 protein_coding 807 843 1016 833 907 465 909 918 816 721 776 897 687 747 735 830 418 666 383 331 466 318
Tent5a ENSMUSG00000032265 Tent5a protein_coding 3485 6316 7346 5089 5956 2093 3068 5295 4163 4267 3730 4446 3273 5459 4044 3487 1974 2220 2297 1851 2241 2036
Usp28 ENSMUSG00000032267 Usp28 protein_coding 462 624 969 632 781 204 542 652 594 502 530 757 607 884 484 493 174 415 347 256 351 225
Tmprss5 ENSMUSG00000032268 Tmprss5 protein_coding 80 62 60 67 69 30 21 49 40 52 30 64 57 31 28 27 12 33 51 38 50 53
Htr3a ENSMUSG00000032269 Htr3a protein_coding 123 117 216 86 110 27 105 67 60 74 68 75 78 120 75 98 50 93 61 50 78 59
Nnmt ENSMUSG00000032271 Nnmt protein_coding 119 63 128 67 160 182 88 35 29 22 32 57 41 81 146 118 159 118 27 24 38 24
Paqr5 ENSMUSG00000032278 Paqr5 protein_coding 1531 1463 827 827 1370 850 979 1009 1083 658 973 978 747 1156 819 910 376 1179 592 682 742 758
Idh3a ENSMUSG00000032279 Idh3a protein_coding 3634 5117 5575 4281 4676 6006 5525 3734 3408 3448 3418 3586 3160 5018 5366 4485 6213 6696 1525 1539 2063 1339
Tle3 ENSMUSG00000032280 Tle3 protein_coding 2343 1593 2348 1587 2231 541 1449 1277 1359 827 1041 1360 994 1587 1143 1829 716 840 841 808 867 940
Acsbg1 ENSMUSG00000032281 Acsbg1 protein_coding 26 22 25 45 34 45 60 100 78 45 67 69 33 78 77 106 70 100 21 15 16 7
Dnaja4 ENSMUSG00000032285 Dnaja4 protein_coding 280 242 236 141 190 68 105 83 45 75 66 88 62 114 118 91 68 52 197 156 163 155
Imp3 ENSMUSG00000032288 Imp3 protein_coding 1142 1227 1061 1038 1094 2587 1540 1143 1031 1145 1005 1058 864 1194 1250 1172 1958 1734 375 378 408 271
Thsd4 ENSMUSG00000032289 Thsd4 protein_coding 1154 1216 1124 923 1079 149 805 496 443 552 350 700 756 678 396 551 109 303 392 370 498 350
Ptpn9 ENSMUSG00000032290 Ptpn9 protein_coding 1562 1612 2144 1422 1876 679 1444 1311 923 999 953 1170 981 1504 1464 1733 733 1459 680 726 896 772
Crabp1 ENSMUSG00000032291 Crabp1 protein_coding 21 28 15 29 33 17 22 9 3 13 10 8 7 20 32 7 26 23 45 26 27 23
Nr2e3 ENSMUSG00000032292 Nr2e3 protein_coding 94 110 5 60 42 37 41 12 8 37 11 3 4 14 71 22 34 13 45 50 38 53
Ireb2 ENSMUSG00000032293 Ireb2 protein_coding 2590 3366 2487 2609 3470 2166 2535 2518 1905 1523 2198 2126 1709 2412 2617 2598 1435 2374 1081 1046 1228 1058
Pkm ENSMUSG00000032294 Pkm protein_coding 17014 22768 20488 19087 18762 24674 35382 30424 45325 35262 37394 50910 29202 31812 22705 31548 17922 30459 5914 5588 6755 4707
